Slovo;Rod;Slovo2;Rod2
našli;ženský;našli;mužský životný
v;;v;
používaní;stredný;používaní;stredný
svoj;mužský neživotný;svoj;mužský neživotný
vlastný;mužský neživotný;vlastný;mužský neživotný
spisovný;mužský neživotný;spisovný;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
presne;;presne;
tak;;tak;
ako;;ako;
vo;;vo;
svojej;ženský;svojej;ženský
českej;ženský;českej;ženský
vlasti;ženský;vlasti;ženský
Podľa;;Podľa;
princípu;mužský neživotný;princípu;mužský neživotný
siedmich;ženský;siedmich;stredný
slobodných;ženský;slobodných;stredný
umení;stredný;umení;stredný
prvým;ženský;prvým;mužský neživotný
stupňom;mužský neživotný;stupňom;mužský neživotný
je;;je;
gramatika;ženský;gramatika;ženský
Európska;ženský;Európska;ženský
únia;ženský;únia;ženský
čiže;;čiže;
veľkých;ženský;veľkých;ženský
bankoviek;ženský;bankoviek;ženský
na;;na;
drobné;mužský neživotný;drobné;ženský
mince;ženský;mince;ženský
Toto;stredný;Toto;stredný
hraníc;ženský;hraníc;ženský
je;;je;
veľmi;;veľmi;
príjemné;ženský;príjemné;stredný
pokiaľ;;pokiaľ;
ide;;ide;
o;;o;
poriadneho;mužský neživotný;poriadneho;mužský životný
občana;mužský životný;občana;mužský životný
ktorý;mužský neživotný;ktorý;mužský životný
cestuje;;cestuje;
za;;za;
svojím;stredný;svojím;mužský neživotný
obchodom;mužský neživotný;obchodom;mužský neživotný
alebo;;alebo;
za;;za;
svojou;ženský;svojou;ženský
dovolenkou;ženský;dovolenkou;ženský
Ľubomír;mužský životný;Ľubomír;mužský životný
Pojem;mužský neživotný;Pojem;mužský neživotný
zo;;zo;
začiatku;mužský neživotný;začiatku;mužský neživotný
storočia;stredný;storočia;stredný
je;;je;
začiatok;mužský neživotný;začiatok;mužský neživotný
pojmu;mužský neživotný;pojmu;mužský neživotný
česko;;česko;
slovenský;mužský neživotný;slovenský;mužský neživotný
si;;si;
bol;ženský;bol;mužský životný
vedomý;mužský neživotný;vedomý;mužský životný
že;;že;
meno;stredný;meno;stredný
Slovákov;mužský životný;Slovákov;mužský životný
treba;;treba;
aj;;aj;
v;;v;
latinčine;ženský;latinčine;ženský
odlišovať;;odlišovať;
od;;od;
všeobecného;mužský neživotný;všeobecného;mužský neživotný
názvu;mužský neživotný;názvu;mužský neživotný
a;stredný;a;
vytvoril;mužský neživotný;vytvoril;mužský životný
nové;ženský;nové;stredný
slovo;stredný;slovo;stredný
Druhá;ženský;Druhá;ženský
inovácia;ženský;inovácia;ženský
je;;je;
v;;v;
gramatickom;mužský neživotný;gramatickom;mužský neživotný
popise;mužský neživotný;popise;mužský neživotný
tohto;stredný;tohto;mužský neživotný
jazyka;mužský neživotný;jazyka;mužský neživotný
Obsiahly;mužský neživotný;Obsiahly;mužský neživotný
vlastivedný;mužský neživotný;vlastivedný;mužský neživotný
úvod;mužský neživotný;úvod;mužský neživotný
k;stredný;k;
gramatike;ženský;gramatike;ženský
napísal;mužský neživotný;napísal;mužský životný
o;;o;
generáciu;ženský;generáciu;ženský
starší;mužský neživotný;starší;mužský životný
Matej;mužský životný;Matej;mužský životný
V;;V;
každom;mužský neživotný;každom;mužský neživotný
prípade;mužský neživotný;prípade;mužský neživotný
aj;;aj;
text;mužský neživotný;text;mužský neživotný
jeho;ženský;jeho;mužský neživotný
úvodu;mužský neživotný;úvodu;mužský neživotný
dal;mužský neživotný;dal;mužský neživotný
gramatike;ženský;gramatike;ženský
punc;mužský neživotný;punc;mužský neživotný
najautoritatívnejšieho;mužský neživotný;najautoritatívnejšieho;mužský neživotný
zdroja;mužský neživotný;zdroja;mužský neživotný
poznania;stredný;poznania;stredný
vtedajšieho;mužský neživotný;vtedajšieho;mužský neživotný
spisovného;mužský neživotný;spisovného;mužský neživotný
jazyka;mužský neživotný;jazyka;mužský neživotný
Čechov;mužský životný;Čechov;mužský životný
i;stredný;i;
Slovákov;mužský životný;Slovákov;mužský životný
Táto;ženský;Táto;ženský
norma;ženský;norma;ženský
je;;je;
dodnes;;dodnes;
základom;mužský neživotný;základom;mužský neživotný
spisovnej;ženský;spisovnej;ženský
češtiny;ženský;češtiny;ženský
Štúrovský;mužský neživotný;Štúrovský;mužský neživotný
nový;mužský neživotný;nový;mužský neživotný
slovenský;mužský neživotný;slovenský;mužský neživotný
spisovný;mužský neživotný;spisovný;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
má;;má;
niekoľko;stredný;niekoľko;stredný
vrstiev;ženský;vrstiev;ženský
Radikálnou;ženský;Radikálnou;ženský
inováciou;ženský;inováciou;ženský
je;;je;
hláskoslovie;stredný;hláskoslovie;stredný
a;stredný;a;
tvaroslovie;stredný;tvaroslovie;stredný
Ľubomír;mužský životný;Ľubomír;mužský životný
Profesor;mužský životný;Profesor;mužský životný
Eugen;mužský životný;Eugen;mužský životný
ktorý;mužský neživotný;ktorý;mužský životný
sa;;sa;
dejinami;ženský;dejinami;ženský
spisovnej;ženský;spisovnej;ženský
slovenčiny;ženský;slovenčiny;ženský
dlhé;ženský;dlhé;mužský neživotný
roky;mužský neživotný;roky;mužský neživotný
zaoberal;mužský neživotný;zaoberal;mužský životný
si;;si;
uvedomil;mužský neživotný;uvedomil;mužský životný
potrebu;ženský;potrebu;ženský
dať;;dať;
do;;do;
rúk;ženský;rúk;ženský
slovenskej;ženský;slovenskej;ženský
i;stredný;i;
medzinárodnej;ženský;medzinárodnej;ženský
vedeckej;ženský;vedeckej;ženský
verejnosti;ženský;verejnosti;ženský
dostatočne;;dostatočne;
prístupný;mužský neživotný;prístupný;mužský neživotný
skutočný;mužský neživotný;skutočný;mužský neživotný
text;mužský neživotný;text;mužský neživotný
tohto;stredný;tohto;stredný
základného;mužský neživotný;základného;stredný
diela;stredný;diela;stredný
Ľubomír;mužský životný;Ľubomír;mužský životný
Ľubomír;mužský životný;Ľubomír;mužský životný
profesor;mužský životný;profesor;mužský životný
slovanských;ženský;slovanských;mužský neživotný
jazykov;mužský neživotný;jazykov;mužský neživotný
Česko;stredný;Česko;
slovenské;ženský;slovenské;stredný
kultúrne;;kultúrne;stredný
kontinuum;stredný;kontinuum;stredný
Ku;;Ku;
konfliktom;mužský neživotný;konfliktom;mužský neživotný
a;stredný;a;
nedorozumeniam;stredný;nedorozumeniam;stredný
výrazne;;výrazne;
prispelo;stredný;prispelo;stredný
aj;;aj;
to;stredný;to;stredný
že;;že;
sa;;sa;
maďarské;ženský;maďarské;stredný
dá;;dá;
používať;;používať;
v;;v;
oboch;ženský;oboch;mužský neživotný
týchto;mužský neživotný;týchto;mužský neživotný
významoch;mužský neživotný;významoch;mužský neživotný
To;stredný;To;stredný
malo;;malo;stredný
obrovský;mužský neživotný;obrovský;mužský neživotný
význam;mužský neživotný;význam;mužský neživotný
v;;v;
druhej;ženský;druhej;ženský
polovici;ženský;polovici;ženský
storočia;stredný;storočia;stredný
keď;;keď;
maďarizácia;ženský;maďarizácia;ženský
reálne;;reálne;
ohrozovala;ženský;ohrozovala;ženský
samotnú;ženský;samotnú;ženský
existenciu;ženský;existenciu;ženský
slovenského;mužský neživotný;slovenského;mužský neživotný
národa;mužský neživotný;národa;mužský neživotný
Ľubomír;mužský životný;Ľubomír;mužský životný
Mal;;Mal;mužský životný
som;;som;
veľké;ženský;veľké;stredný
potešenie;stredný;potešenie;stredný
z;stredný;z;
knižky;ženský;knižky;ženský
Antona;mužský životný;Antona;mužský životný
Skalica;ženský;Skalica;ženský
moja;ženský;moja;ženský
láska;ženský;láska;ženský
osud;mužský neživotný;osud;mužský neživotný
a;stredný;a;
Jeho;ženský;Jeho;mužský životný
obaja;mužský životný;obaja;mužský životný
starší;mužský neživotný;starší;mužský životný
bratia;mužský životný;bratia;mužský životný
išli;ženský;išli;mužský životný
do;;do;
škôl;ženský;škôl;ženský
a;stredný;a;
mal;;mal;mužský životný
prevziať;;prevziať;
obchod;mužský neživotný;obchod;mužský neživotný
Intenzívne;;Intenzívne;
sa;;sa;
pamätám;;pamätám;
na;;na;
prístavbu;ženský;prístavbu;ženský
javiska;stredný;javiska;stredný
k;stredný;k;
cirkevnej;ženský;cirkevnej;ženský
sieni;ženský;sieni;ženský
na;;na;
evanjelickej;ženský;evanjelickej;ženský
fare;ženský;fare;ženský
Potom;;Potom;
prišiel;mužský neživotný;prišiel;mužský neživotný
koniec;mužský neživotný;koniec;mužský neživotný
vojny;ženský;vojny;ženský
bolo;stredný;bolo;stredný
obnovené;ženský;obnovené;stredný
Československo;stredný;Československo;stredný
začali;ženský;začali;mužský neživotný
sa;;sa;
celkom;;celkom;
iné;ženský;iné;mužský neživotný
pomery;mužský neživotný;pomery;mužský neživotný
Činnosť;ženský;Činnosť;ženský
nášho;mužský neživotný;nášho;stredný
združenia;stredný;združenia;stredný
zatisli;ženský;zatisli;ženský
do;;do;
pozadia;stredný;pozadia;stredný
iné;ženský;iné;ženský
potreby;ženský;potreby;ženský
To;stredný;To;stredný
sa;;sa;
menuje;;menuje;
iniciatívnosť;ženský;iniciatívnosť;ženský
a;stredný;a;
Ľubomír;mužský životný;Ľubomír;mužský životný
ODCHODY;mužský neživotný;ODCHODY;mužský neživotný
A;;A;
návraty;mužský neživotný;návraty;mužský neživotný
ĽUBOMÍRA;ženský;ĽUBOMÍRA;mužský životný
I;;I;
toho;stredný;toho;stredný
Slovensko;stredný;Slovensko;stredný
by;;by;
dnes;;dnes;
hovorí;;hovorí;
Ľubomír;mužský životný;Ľubomír;mužský životný
To;stredný;To;stredný
je;;je;
MOŽNO;;MOŽNO;
tá;ženský;tá;ženský
pozitívna;ženský;pozitívna;ženský
stránka;ženský;stránka;ženský
ROZDELENIA;stredný;ROZDELENIA;stredný
REPUBLIKY;ženský;REPUBLIKY;ženský
Negatívnych;ženský;Negatívnych;ženský
stránok;ženský;stránok;ženský
je;;je;
množstvo;stredný;množstvo;stredný
Nakoniec;;Nakoniec;
takisto;;takisto;
môže;;môže;
aj;;aj;
Čech;mužský životný;Čech;mužský životný
čítať;;čítať;
slovenské;ženský;slovenské;ženský
keby;;keby;
chcel;mužský neživotný;chcel;mužský životný
oni;mužský životný;oni;mužský životný
však;;však;
tú;;tú;ženský
potrebu;ženský;potrebu;ženský
V;;V;
ROVNAKEJ;ženský;ROVNAKEJ;ženský
MIERE;ženský;MIERE;ženský
Konkrétne;;Konkrétne;
je;;je;
to;stredný;to;stredný
obdobie;stredný;obdobie;stredný
od;;od;
roku;mužský neživotný;roku;mužský neživotný
do;;do;
roku;mužský neživotný;roku;mužský neživotný
Vtedy;;Vtedy;
sa;;sa;
naraz;;naraz;
ukázalo;stredný;ukázalo;stredný
že;;že;
komunistická;ženský;komunistická;ženský
strana;ženský;strana;ženský
s;stredný;s;
jej;ženský;jej;mužský neživotný
zločineckými;ženský;zločineckými;mužský neživotný
spôsobmi;mužský neživotný;spôsobmi;mužský neživotný
skrachovala;ženský;skrachovala;ženský
Vtedy;;Vtedy;
vyšla;ženský;vyšla;ženský
moja;ženský;moja;ženský
KNIHA;ženský;KNIHA;ženský
spisovnej;ženský;spisovnej;ženský
ruštiny;ženský;ruštiny;ženský
ktorá;ženský;ktorá;ženský
sa;;sa;
stala;ženský;stala;ženský
celoštátnou;ženský;celoštátnou;ženský
univerzitnou;ženský;univerzitnou;ženský
učebnicou;ženský;učebnicou;ženský
ruskej;ženský;ruskej;ženský
TEORETICKEJ;ženský;TEORETICKEJ;ženský
morfológie;ženský;morfológie;ženský
Uvedomovali;ženský;Uvedomovali;všeobecný
sme;;sme;
si;;si;
že;;že;
sa;;sa;
môže;;môže;
Dovtedy;;Dovtedy;
to;stredný;to;stredný
však;;však;
bolo;stredný;bolo;stredný
obdobie;stredný;obdobie;stredný
veľkej;ženský;veľkej;ženský
nádeje;ženský;nádeje;ženský
Ja;stredný;Ja;všeobecný
ich;ženský;ich;mužský životný
poznám;;poznám;
A;;A;
mal;;mal;mužský životný
pravdu;ženský;pravdu;ženský
Sklamanie;stredný;Sklamanie;stredný
po;;po;
vojne;ženský;vojne;ženský
Ľubomír;mužský životný;Ľubomír;mužský životný
do;;do;
komunistickej;ženský;komunistickej;ženský
strany;ženský;strany;ženský
Piateho;mužský neživotný;Piateho;mužský neživotný
mája;mužský neživotný;mája;mužský neživotný
sa;;sa;
začalo;stredný;začalo;stredný
Pražské;ženský;Pražské;stredný
povstanie;stredný;povstanie;stredný
a;stredný;a;
z;stredný;z;
rádia;stredný;rádia;stredný
sa;;sa;
ozývala;ženský;ozývala;ženský
výzva;ženský;výzva;ženský
o;;o;
pomoc;;pomoc;ženský
To;stredný;To;stredný
bola;ženský;bola;ženský
tá;ženský;tá;ženský
zločinecká;ženský;zločinecká;ženský
časť;ženský;časť;ženský
komunistickej;ženský;komunistickej;ženský
strany;ženský;strany;ženský
Môj;mužský neživotný;Môj;mužský životný
otec;mužský životný;otec;mužský životný
bol;ženský;bol;mužský životný
Nedávno;;Nedávno;
som;;som;
odovzdal;mužský neživotný;odovzdal;mužský životný
do;;do;
skalického;mužský neživotný;skalického;stredný
Záhorského;mužský neživotný;Záhorského;stredný
múzea;stredný;múzea;stredný
otcove;ženský;otcove;mužský neživotný
denníky;mužský neživotný;denníky;mužský neživotný
Je;;Je;
to;stredný;to;stredný
cenná;ženský;cenná;ženský
a;stredný;a;
zaujímavá;ženský;zaujímavá;ženský
pamiatka;ženský;pamiatka;ženský
o;;o;
storočí;stredný;storočí;stredný
Polovicu;ženský;Polovicu;ženský
zo;;zo;
všetkého;mužský neživotný;všetkého;stredný
čo;stredný;čo;stredný
vo;;vo;
mne;;mne;všeobecný
je;;je;
mám;;mám;
z;stredný;z;
domu;mužský neživotný;domu;mužský neživotný
z;stredný;z;
toho;stredný;toho;stredný
čo;stredný;čo;stredný
sa;;sa;
doma;;doma;
povedalo;stredný;povedalo;stredný
napríklad;;napríklad;
pri;;pri;
stole;mužský neživotný;stole;mužský neživotný
Otec;mužský životný;Otec;mužský životný
veľa;;veľa;
rozprával;mužský neživotný;rozprával;mužský životný
o;;o;
svojom;mužský neživotný;svojom;mužský neživotný
literárnovednom;mužský neživotný;literárnovednom;mužský neživotný
výskume;mužský neživotný;výskume;mužský neživotný
ale;;ale;
sme;;sme;
sa;;sa;
samozrejme;;samozrejme;
ani;;ani;
súčasným;ženský;súčasným;mužský neživotný
problémom;mužský neživotný;problémom;mužský neživotný
Vtedy;;Vtedy;
mi;;mi;všeobecný
utkveli;ženský;utkveli;neurčiteľný
v;;v;
pamäti;ženský;pamäti;ženský
dátumy;mužský neživotný;dátumy;mužský neživotný
mená;stredný;mená;stredný
i;stredný;i;
dôležité;ženský;dôležité;ženský
udalosti;ženský;udalosti;ženský
z;stredný;z;
minulosti;ženský;minulosti;ženský
medzi;;medzi;
ktoré;ženský;ktoré;
bolo;stredný;bolo;stredný
neskôr;;neskôr;
ľahšie;;ľahšie;
dokladať;;dokladať;
nové;ženský;nové;mužský neživotný
dátumy;mužský neživotný;dátumy;mužský neživotný
mená;stredný;mená;stredný
i;stredný;i;
vzťahy;mužský neživotný;vzťahy;mužský neživotný
Mama;ženský;Mama;ženský
pochádzala;ženský;pochádzala;ženský
z;stredný;z;
rodiny;ženský;rodiny;ženský
s;stredný;s;
generáciami;ženský;generáciami;ženský
evanjelických;ženský;evanjelických;mužský životný
farárov;mužský životný;farárov;mužský životný
Vzdelanecké;ženský;Vzdelanecké;stredný
pozadie;stredný;pozadie;stredný
rodiny;ženský;rodiny;ženský
malo;;malo;stredný
pre;;pre;
moju;ženský;moju;ženský
budúcnosť;ženský;budúcnosť;ženský
VEĽMI;;VEĽMI;
DÔLEŽITÚ;ženský;DÔLEŽITÚ;ženský
úlohu;ženský;úlohu;ženský
Rešpektovali;ženský;Rešpektovali;všeobecný
ste;stredný;ste;
otca;mužský životný;otca;mužský životný
bezvýhradne;;bezvýhradne;
Viera;ženský;Viera;ženský
môže;;môže;
dávať;;dávať;
človeku;mužský životný;človeku;mužský životný
životnú;ženský;životnú;ženský
istotu;ženský;istotu;ženský
mieni;;mieni;
profesor;mužský životný;profesor;mužský životný
Faktom;mužský neživotný;Faktom;mužský neživotný
je;;je;
že;;že;
náboženský;mužský neživotný;náboženský;mužský neživotný
fundamentalizmus;mužský neživotný;fundamentalizmus;mužský neživotný
prežíva;;prežíva;
svoju;ženský;svoju;ženský
regeneráciu;ženský;regeneráciu;ženský
Bavilo;stredný;Bavilo;stredný
ma;;ma;všeobecný
písať;;písať;
kompozície;ženský;kompozície;ženský
a;stredný;a;
na;;na;
vynikajúcom;mužský neživotný;vynikajúcom;stredný
skalickom;mužský neživotný;skalickom;stredný
gymnáziu;stredný;gymnáziu;stredný
boli;ženský;boli;ženský
veľmi;;veľmi;
dobré;stredný;dobré;ženský
podmienky;ženský;podmienky;ženský
pre;;pre;
kultúru;ženský;kultúru;ženský
sme;;sme;
sa;;sa;
ani;;ani;
politike;ženský;politike;ženský
Môj;mužský neživotný;Môj;mužský životný
otec;mužský životný;otec;mužský životný
po;;po;
jeho;ženský;jeho;mužský neživotný
rozpade;mužský neživotný;rozpade;mužský neživotný
niekoľko;stredný;niekoľko;stredný
týždňov;mužský neživotný;týždňov;mužský neživotný
MÔJ;mužský neživotný;MÔJ;mužský neživotný
PRIMÁRNY;mužský neživotný;PRIMÁRNY;mužský neživotný
ZÁUJEM;mužský neživotný;ZÁUJEM;mužský neživotný
BOLI;ženský;BOLI;stredný
Umožniť;;Umožniť;
jazykovedcovi;mužský životný;jazykovedcovi;mužský životný
rozhovoriť;;rozhovoriť;
sa;;sa;
o;;o;
systéme;mužský neživotný;systéme;mužský neživotný
v;;v;
jazyku;mužský neživotný;jazyku;mužský neživotný
prináša;;prináša;
zdanlivo;;zdanlivo;
nebezpečenstvo;stredný;nebezpečenstvo;stredný
že;;že;
sa;;sa;
vstúpi;;vstúpi;
do;;do;
a;stredný;a;
nudného;mužský neživotný;nudného;mužský neživotný
sveta;mužský neživotný;sveta;mužský neživotný
Ypsilon;mužský neživotný;Ypsilon;mužský neživotný
ako;;ako;
hláska;ženský;hláska;ženský
nie;;nie;
je;;je;
funkčný;mužský neživotný;funkčný;mužský neživotný
a;stredný;a;
v;;v;
slovenskom;mužský neživotný;slovenskom;mužský neživotný
jazyku;mužský neživotný;jazyku;mužský neživotný
takej;ženský;takej;ženský
hlásky;ženský;hlásky;ženský
niet;;niet;
Ale;;Ale;
takto;;takto;
sa;;sa;
hovorí;;hovorí;
v;;v;
Mikuláši;mužský neživotný;Mikuláši;mužský neživotný
Ukazuje;;Ukazuje;
sa;;sa;
teda;;teda;
že;;že;
tým;;tým;stredný
stredoslovenským;ženský;stredoslovenským;stredný
nárečím;stredný;nárečím;stredný
ktorÉ;ženský;ktorÉ;stredný
Štúrovci;mužský životný;Štúrovci;mužský životný
povýšili;ženský;povýšili;mužský životný
na;;na;
spisovný;mužský neživotný;spisovný;mužský neživotný
JAZYK;mužský neživotný;JAZYK;mužský neživotný
bol;ženský;bol;mužský neživotný
prestížny;mužský neživotný;prestížny;mužský neživotný
liptovský;mužský neživotný;liptovský;mužský neživotný
mestský;mužský neživotný;mestský;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
Presvedčil;mužský neživotný;Presvedčil;mužský životný
Záborského;mužský neživotný;Záborského;mužský životný
že;;že;
správna;ženský;správna;ženský
slovenská;ženský;slovenská;ženský
výslovnosť;ženský;výslovnosť;ženský
je;;je;
V;;V;
lete;mužský neživotný;lete;stredný
v;;v;
Prahe;ženský;Prahe;ženský
zažiadal;mužský neživotný;zažiadal;mužský životný
o;;o;
zahraničné;ženský;zahraničné;stredný
štipendium;stredný;štipendium;stredný
VEĽMI;;VEĽMI;
KOMPLIKOVANOU;ženský;KOMPLIKOVANOU;ženský
ZHODOU;ženský;ZHODOU;ženský
OKOLNOSTÍ;ženský;OKOLNOSTÍ;ženský
HO;;HO;stredný
PO;;PO;
ROKU;mužský neživotný;ROKU;mužský neživotný
dostal;mužský neživotný;dostal;mužský životný
a;stredný;a;
odišiel;mužský neživotný;odišiel;mužský životný
na;;na;
ROK;mužský neživotný;ROK;mužský neživotný
do;;do;
Nórska;stredný;Nórska;stredný
Keď;;Keď;
sa;;sa;
začal;mužský neživotný;začal;mužský neživotný
semester;mužský neživotný;semester;mužský neživotný
pustil;mužský neživotný;pustil;mužský životný
som;;som;
sa;;sa;
pod;;pod;
vedením;stredný;vedením;stredný
profesora;mužský životný;profesora;mužský životný
do;;do;
čítania;stredný;čítania;stredný
textov;mužský neživotný;textov;mužský neživotný
Rozprávanie;stredný;Rozprávanie;stredný
Ľubomíra;ženský;Ľubomíra;mužský životný
PRIPRAVILA;ženský;PRIPRAVILA;ženský
Škvarková;ženský;Škvarková;ženský
Protiprávna;ženský;Protiprávna;ženský
vojna;ženský;vojna;ženský
v;;v;
Iraku;mužský neživotný;Iraku;mužský neživotný
ktorú;ženský;ktorú;ženský
rozpútala;ženský;rozpútala;ženský
aliancia;ženský;aliancia;ženský
náboženských;ženský;náboženských;mužský životný
fundamentalistov;mužský životný;fundamentalistov;mužský životný
a;stredný;a;
je;;je;
cynickým;ženský;cynickým;mužský neživotný
výsmechom;mužský neživotný;výsmechom;mužský neživotný
všetkých;ženský;všetkých;ženský
hodnôt;ženský;hodnôt;ženský
ktoré;ženský;ktoré;ženský
naša;ženský;naša;ženský
západná;ženský;západná;ženský
civilizácia;ženský;civilizácia;ženský
pokladá;;pokladá;
za;;za;
nedotknuteľné;ženský;nedotknuteľné;ženský
Po;;Po;
ukončení;stredný;ukončení;stredný
tejto;ženský;tejto;ženský
vojny;ženský;vojny;ženský
nádejou;ženský;nádejou;ženský
sveta;mužský neživotný;sveta;mužský neživotný
je;;je;
zmena;ženský;zmena;ženský
Koruna;ženský;Koruna;ženský
Sv;;Sv;
Štefana;mužský životný;Štefana;mužský životný
a;stredný;a;
ostrihomský;mužský neživotný;ostrihomský;mužský neživotný
sa;;sa;
stali;ženský;stali;neurčiteľný
symbolom;mužský neživotný;symbolom;mužský neživotný
Uhorského;mužský neživotný;Uhorského;mužský neživotný
štátu;mužský neživotný;štátu;mužský neživotný
Boja;mužský neživotný;Boja;mužský neživotný
ktorého;mužský neživotný;ktorého;mužský neživotný
medze;ženský;medze;ženský
určovala;ženský;určovala;ženský
Zlatá;stredný;Zlatá;ženský
Náš;mužský neživotný;Náš;mužský neživotný
dnešný;mužský neživotný;dnešný;mužský neživotný
spisovný;mužský neživotný;spisovný;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
je;;je;
skutočným;ženský;skutočným;mužský neživotný
kompromisom;mužský neživotný;kompromisom;mužský neživotný
medzi;;medzi;
radikálnou;ženský;radikálnou;ženský
normou;ženský;normou;ženský
štúrovcov;mužský životný;štúrovcov;mužský životný
a;stredný;a;
požiadavkami;ženský;požiadavkami;ženský
i;stredný;i;
tradíciou;ženský;tradíciou;ženský
českou;ženský;českou;ženský
či;;či;
československou;ženský;československou;ženský
Starú;ženský;Starú;ženský
meravú;ženský;meravú;ženský
nekompromisnosť;ženský;nekompromisnosť;ženský
a;stredný;a;
oživila;ženský;oživila;ženský
idea;ženský;idea;ženský
Slovenska;stredný;Slovenska;stredný
od;;od;
tisícročného;mužský neživotný;tisícročného;stredný
Uhorska;stredný;Uhorska;stredný
a;stredný;a;
najmä;;najmä;
štátneho;mužský neživotný;štátneho;stredný
spojenia;stredný;spojenia;stredný
s;stredný;s;
Čechmi;mužský životný;Čechmi;mužský životný
Takže;;Takže;
sociálny;mužský neživotný;sociálny;mužský neživotný
populizmus;mužský neživotný;populizmus;mužský neživotný
je;;je;
povedal;mužský neživotný;povedal;mužský životný
by;;by;
som;;som;
prirodzeným;ženský;prirodzeným;mužský neživotný
plodom;mužský neživotný;plodom;mužský neživotný
stáročného;mužský neživotný;stáročného;mužský neživotný
vývinu;mužský neživotný;vývinu;mužský neživotný
slovenskej;ženský;slovenskej;ženský
spoločnosti;ženský;spoločnosti;ženský
Ľubomír;mužský životný;Ľubomír;mužský životný
Pre;;Pre;
časopis;mužský neživotný;časopis;mužský neživotný
Záhorského;mužský neživotný;Záhorského;stredný
múzea;stredný;múzea;stredný
v;;v;
Skalici;ženský;Skalici;ženský
Výstava;ženský;Výstava;ženský
vzorného;mužský neživotný;vzorného;stredný
balenia;stredný;balenia;stredný
potravín;ženský;potravín;ženský
v;;v;
Skalici;ženský;Skalici;ženský
